"ID","SIRE.ID","DAM.ID","Sex","BYEAR"
5432,NA,4722,"F",2005
5431,5153,4722,"F",2005
4161,NA,2907,"F",2001
7266,6825,7019,"M",2006
7173,6983,6917,"F",2005
5102,NA,4805,"M",2004
6947,6913,6812,"F",2004
5210,NA,4805,"F",2005
5212,NA,4805,"F",2005
7318,7186,7006,"F",2006
6962,6833,6813,"F",2004
7330,7047,6974,"F",2006
7321,6925,6822,"F",2006
7319,6965,6822,"F",2006
7320,6883,6822,"M",2006
7350,6877,6944,"M",2006
6016,5153,4722,"M",2007
7278,7047,6935,"M",2006
7277,7047,6935,"M",2006
7570,7306,7035,"M",2007
7587,7310,6865,"F",2007
7585,7310,6865,"F",2007
7489,7242,6822,"M",2007
7490,6965,6822,"F",2007
5909,5501,5074,"F",2007
5910,5166,5074,"F",2007
5911,4713,5074,"M",2007
7579,7258,7264,"F",2007
5954,4712,5337,"F",2007
7586,7256,7392,"M",2007
7584,7256,7392,"F",2007
7590,6908,6944,"M",2007
7622,7288,7252,"M",2007
7597,7242,7314,"F",2007
7909,NA,7195,"M",2008
7910,7251,7195,"M",2008
7639,7039,6929,"M",2007
7634,6976,7040,"M",2007
7120,6892,6813,"F",2005
7589,7310,6865,"F",2007
7491,6965,6822,"M",2007
7757,7072,7314,"F",2008
7666,7149,7211,"F",2007
7577,7258,7264,"M",2007
7487,7031,6978,"M",2007
7551,7187,7315,"M",2007
6417,NA,NA,"F",2008
7761,7072,7314,"M",2008
7334,6871,6931,"M",2006
6434,5318,6104,"M",2009
7572,7306,7035,"F",2007
7635,6976,7040,"M",2007
7875,NA,6974,"M",2008
8051,7251,7195,"M",2009
6203,5318,6104,"M",2008
6204,5914,6104,"M",2008
7807,6965,7315,"F",2008
6418,NA,5241,"F",2009
8704,NA,7573,"M",2010
7638,6980,6929,"M",2007
8287,5466,6435,"F",2010
8648,NA,7195,"M",2010
8308,6284,6430,"M",2010
8288,NA,6435,"F",2010
6031,5177,5426,"M",2007
7637,6883,6929,"F",2007
6034,NA,5426,"F",2007
5004,NA,2966,"F",2004
1992,NA,1669,"F",1995
2802,NA,1324,"M",1998
2870,NA,1669,"F",1998
2868,NA,1669,"F",1998
2978,NA,1915,"F",1998
2625,NA,2014,"F",1997
2017,NA,1327,"F",1995
2469,NA,1324,"F",1997
7605,6952,7318,"M",2007
3784,NA,NA,"M",2000
2486,NA,NA,"F",1997
3577,NA,2014,"F",1999
7164,NA,6962,"M",2005
4461,NA,NA,"F",2002
4580,NA,2489,"M",2002
4476,NA,2901,"M",2002
4477,NA,2901,"F",2002
5261,NA,4784,"M",2005
5247,4712,4159,"F",2005
5245,4714,4159,"M",2005
5200,NA,5103,"F",2005
5309,NA,5103,"F",2005
5226,4713,4161,"F",2005
5266,5145,4479,"M",2005
7383,NA,7136,"F",2006
7396,6950,7188,"F",2006
6047,5155,5432,"F",2007
5982,NA,5212,"M",2007
5983,5470,5212,"F",2007
7557,7320,7317,"F",2007
7583,7277,6865,"F",2007
7492,6971,7120,"M",2007
7549,7266,7315,"M",2007
7558,7262,7173,"F",2007
7556,7116,NA,"F",2007
5927,5298,5304,"M",2007
5928,5484,5304,"M",2007
7560,7320,7317,"F",2007
7505,7282,6947,"M",2007
6301,NA,5954,"F",2008
7507,7282,6947,"M",2007
7803,7491,7666,"F",2008
7781,7431,7584,"F",2008
7827,6965,7321,"F",2008
8054,7487,7611,"F",2009
8055,7487,7611,"F",2009
6535,NA,6034,"F",2009
7898,7108,7437,"M",2008
7613,6976,7051,"F",2007
6538,5515,6034,"M",2009
7673,6983,6947,"M",2007
7170,6901,6951,"F",2005
5005,4005,2901,"F",2004
7885,7108,7019,"M",2008
7647,6925,7319,"M",2007
7559,7350,7173,"F",2007
7900,7026,7051,"M",2008
6485,5318,5909,"M",2009
8068,6976,7111,"M",2009
8045,7427,7321,"M",2009
8116,NA,7637,"M",2009
8074,NA,6947,"M",2009
8075,NA,6947,"F",2009
8076,NA,6947,"M",2009
8105,7256,7330,"F",2009
7999,7570,7051,"F",2009
7825,6965,7321,"F",2008
7672,NA,6947,"F",2007
8050,7108,7195,"F",2009
7850,7551,7111,"F",2008
8175,7634,7211,"F",2009
8171,NA,7173,"M",2009
6443,6384,5210,"F",2009
6444,6138,5210,"F",2009
6445,6384,5210,"F",2009
6533,5818,5449,"F",2009
6536,5515,6034,"M",2009
6500,5717,6417,"M",2009
7387,6883,6951,"M",2006
8990,NA,7637,"M",2010
8991,NA,7637,"M",2010
8992,NA,7637,"F",2010
8955,NA,7807,"M",2010
8682,NA,7321,"F",2010
8638,7551,7111,"F",2010
8639,NA,7111,"F",2010
8786,NA,7589,"M",2010
8730,NA,7597,"F",2010
8732,7716,7597,"F",2010
8669,7638,7330,"M",2010
7619,6971,7330,"F",2007
7617,6971,7330,"M",2007
7496,6971,7120,"F",2007
6018,5515,5056,"F",2007
7649,7251,7111,"F",2007
3135,NA,1992,"F",1998
3002,NA,2017,"F",1998
3864,NA,2870,"F",2000
4123,NA,NA,"F",2001
4310,NA,2978,"F",2001
4329,NA,3577,"F",2001
4534,NA,2486,"M",2002
2999,NA,NA,"M",1998
4571,NA,2868,"F",2002
4559,NA,NA,"M",2002
3865,NA,2870,"M",2000
5050,4402,4477,"F",2004
5256,4714,4461,"M",2005
5408,4580,4549,"F",2005
5204,NA,5004,"F",2005
5205,NA,5004,"M",2005
3100,NA,2469,"M",1998
4157,2802,2901,"F",2001
5092,4029,2625,"M",2004
5093,4476,2625,"M",2004
5138,4476,4161,"F",2004
5029,2802,4159,"F",2004
5323,5144,5005,"F",2005
5325,5144,5005,"M",2005
4776,NA,2486,"M",2003
